ha,spring,summer,autumn,years_since_2012,min_dist_to_roads,BG,BWBS,CWH,ESSF,ICH,IDF,MS,PP,SBPS,SBS,SWB
13.0,0,1,0,0,0.6844010383078849,0,0,0,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0.579263716558564,0,0,0,0,0,0,0,0,1,0,0
20.0,0,0,1,0,0.47319228158452076,0,0,0,0,0,0,0,0,1,0,0
8.0,1,0,0,0,0.031121575953722946,0,0,0,0,0,1,0,0,0,0,0
12.2,1,0,0,0,0.04698210710140861,0,0,0,0,0,1,0,0,0,0,0
26.2,1,0,0,0,0.0009264624315609532,0,0,0,0,0,1,0,0,0,0,0
7.0,1,0,0,0,0.007441495902492265,0,0,0,0,0,1,0,0,0,0,0
86.0,1,0,0,0,0.037445114265209925,0,0,0,0,0,1,0,0,0,0,0
270.0,0,1,0,0,0.1567867882591626,0,0,0,0,0,1,0,0,0,0,0
5.0,0,1,0,0,0.149252776488746,0,0,0,0,0,1,0,0,0,0,0
15.0,0,0,1,0,0.06621362866055097,0,0,0,0,0,1,0,0,0,0,0
5.3,1,0,0,0,0.30358435869086975,0,0,0,0,0,1,0,0,0,0,0
11.5,0,1,0,0,0.3718258022921174,0,0,0,0,0,1,0,0,0,0,0
427.0,0,1,0,0,0.3466536087450675,0,0,0,0,0,1,0,0,0,0,0
10.0,1,0,0,0,0.03192830588302925,0,0,0,0,0,1,0,0,0,0,0
8.9,1,0,0,0,0.003990479811108905,0,0,0,0,0,1,0,0,0,0,0
47.0,1,0,0,0,0.07797739124516559,0,0,0,0,0,1,0,0,0,0,0
11.0,1,0,0,0,0.6483901487442643,0,0,0,0,0,1,0,0,0,0,0
9.0,0,1,0,0,0.008230915302351403,0,0,0,0,0,1,0,0,0,0,0
11.1,0,1,0,0,0.059983323001541355,0,0,0,0,0,1,0,0,0,0,0
129.0,0,0,1,0,0.017397365783680455,0,0,0,0,0,1,0,0,0,0,0
6.7,1,0,0,0,0.04191732891384789,0,0,0,0,0,0,0,0,0,1,0
27.3,1,0,0,0,0.012226489316847836,0,0,0,0,0,0,0,0,0,1,0
15.0,0,1,0,0,0.49331283673715837,0,0,0,1,0,0,0,0,0,0,0
39.2,0,1,0,0,0.47462268899129006,0,0,0,0,0,0,0,0,0,1,0
473.0,0,1,0,0,0.820891048085521,0,1,0,0,0,0,0,0,0,0,0
1590.8,0,1,0,0,0.606668705056084,0,1,0,0,0,0,0,0,0,0,0
11.7,0,1,0,0,1.094197742831996,0,1,0,0,0,0,0,0,0,0,0
36.7,0,1,0,0,0.7033249762980636,0,0,0,0,0,0,0,0,0,1,0
17.7,1,0,0,0,0.01550519665496944,0,1,0,0,0,0,0,0,0,0,0
54.3,1,0,0,0,0.03384761058134787,0,1,0,0,0,0,0,0,0,0,0
9.8,1,0,0,0,0.01788111614550515,0,1,0,0,0,0,0,0,0,0,0
141.9,1,0,0,0,0.00918621800225649,0,1,0,0,0,0,0,0,0,0,0
17.0,1,0,0,0,0.1441849204426667,0,1,0,0,0,0,0,0,0,0,0
46.0,1,0,0,0,0.0981360304302064,0,1,0,0,0,0,0,0,0,0,0
7.4,1,0,0,0,0.17405844237647,0,1,0,0,0,0,0,0,0,0,0
8.5,1,0,0,0,0.004335347561441684,0,1,0,0,0,0,0,0,0,0,0
6.8,1,0,0,0,0.16449776620951342,0,1,0,0,0,0,0,0,0,0,0
23.5,0,1,0,0,0.07109630993647365,0,1,0,0,0,0,0,0,0,0,0
24.2,0,1,0,0,0.054173518651464456,0,1,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,0.04779365468998714,0,1,0,0,0,0,0,0,0,0,0
10.3,1,0,0,0,0.28565600947437,0,1,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,0.2502856634336459,0,1,0,0,0,0,0,0,0,0,0
6.3,1,0,0,0,0.3183951834712855,0,1,0,0,0,0,0,0,0,0,0
6.1,1,0,0,0,0.2693883117209675,0,1,0,0,0,0,0,0,0,0,0
28.1,1,0,0,0,0.020813593969439364,0,1,0,0,0,0,0,0,0,0,0
9.1,1,0,0,0,0.026778986561284593,0,1,0,0,0,0,0,0,0,0,0
19.5,1,0,0,0,0.40171807868113296,0,1,0,0,0,0,0,0,0,0,0
15.1,1,0,0,0,0.5585475085350953,0,1,0,0,0,0,0,0,0,0,0
20.0,1,0,0,0,0.4076564022356477,0,1,0,0,0,0,0,0,0,0,0
31.0,1,0,0,0,0.5684160877950204,0,1,0,0,0,0,0,0,0,0,0
111.0,0,1,0,0,0.3183951834712855,0,1,0,0,0,0,0,0,0,0,0
49.4,0,1,0,0,0.5625718066767987,0,1,0,0,0,0,0,0,0,0,0
15.0,0,1,0,0,0.44279475336912527,0,1,0,0,0,0,0,0,0,0,0
8.9,0,1,0,0,0.07902296812425177,0,1,0,0,0,0,0,0,0,0,0
718.2,0,1,0,0,0.4452796587045779,0,1,0,0,0,0,0,0,0,0,0
9600.0,0,1,0,0,0.5140302244793226,0,1,0,0,0,0,0,0,0,0,0
6.9,0,1,0,0,1.0258874706029761,0,1,0,0,0,0,0,0,0,0,0
751.9,0,1,0,0,0.1907605276154332,0,1,0,0,0,0,0,0,0,0,0
8.6,0,1,0,0,0.08125035194427802,0,1,0,0,0,0,0,0,0,0,0
80.2,0,1,0,0,0.362289499960162,0,1,0,0,0,0,0,0,0,0,0
166.0,0,0,1,0,0.47314579255826494,0,1,0,0,0,0,0,0,0,0,0
23.0,1,0,0,0,0.9889736214213964,0,1,0,0,0,0,0,0,0,0,0
9.3,1,0,0,0,1.4913811412226379,0,1,0,0,0,0,0,0,0,0,0
