Year,Fire Number,Fire Centre,Latitude,Longitude,Geographic,Discovery Date,Size (ha)
2012,C10075 (2012),Cariboo,52 44.747,124 22.619,Bald Face Mountain,"July 14, 2012",13.0
2012,C10118 (2012),Cariboo,52 41.849,123 00.607,Quesnel-Merston Creek,"July 19, 2012",6.0
2012,C10247 (2012),Cariboo,53 03.159,122 58.020,11B Road Blackwater,"October 17, 2012",20.0
2012,C10250 (2012),Cariboo,52 30.773,122 26.629,Margeurite,"March 30, 2013",8.0
2012,C20005 (2012),Cariboo,52 07.676,121 54.904,150 Mile House-330 Valley Rd,"April 7, 2012",12.2
2012,C20009 (2012),Cariboo,52 06.000,121 59.000,Sugarcane IR,"April 14, 2012",26.2
2012,C20016 (2012),Cariboo,52 06.430,121 59.783,Williams Lake 1,"April 25, 2012",7.0
2012,C20047 (2012),Cariboo,51 54.970,122 40.119,Bald Mountain,"May 27, 2012",86.0
2012,C20104 (2012),Cariboo,51 49.557,121 51.749,15 km on Enterprise Rd,"July 18, 2012",270.0
2012,C20108 (2012),Cariboo,52 09.063,122 18.796,Meldrum west of west fraser,"July 18, 2012",5.0
2012,C20234 (2012),Cariboo,51 55.270,122 35.370,Riske Creek,"September 27, 2012",15.0
2012,C40038 (2012),Cariboo,51 09.354,121 57.648,Jesmond Road-8 KMS NW of Porcupine creek,"May 13, 2012",5.3
2012,C40067 (2012),Cariboo,51 34.626,121 51.306,Gustafsen/Dog Creek FSR,"July 9, 2012",11.5
2012,C40193 (2012),Cariboo,51 13.198,122 05.252,Big Bar Creek,"August 21, 2012",427.0
2012,C50002 (2012),Cariboo,52 02.469,123 12.421,anahims Flate IR 1,"April 6, 2012",10.0
2012,C50021 (2012),Cariboo,52 08.686,123 55.681,Redstone Cemetry IR No. 1 B,"May 3, 2012",8.9
2012,C50033 (2012),Cariboo,52 01.529,123 38.935,Siwash,"May 12, 2012",47.0
2012,C50037 (2012),Cariboo,51 28.775,123 50.487,Konni Lake - Tanakut 4,"May 13, 2012",11.0
2012,C50076 (2012),Cariboo,52 08.988,123 51.366,2 km east of Redstone IR,"July 14, 2012",9.0
2012,C50219 (2012),Cariboo,51 58.702,123 08.742,1 km E of Anahim's Flat Reserve N.side o...,"September 6, 2012",11.1
2012,C50241 (2012),Cariboo,52 06.647,123 15.086,West of Anahim's Meadow IR,"October 7, 2012",129.0
